GLW,2015-02-13,0.05128205128205128,0.47435897435897434,-0.4230769230769231,78
GLW,2016-02-12,0.01282051282051282,0.3717948717948718,-0.358974358974359,78
GLW,2017-02-06,0.0,0.5217391304347826,-0.5217391304347826,46
GLW,2018-02-15,0.0,0.54,-0.54,50
GLW,2019-02-12,0.0,0.46938775510204084,-0.46938775510204084,49
GLW,2020-02-14,0.0,0.5106382978723404,-0.5106382978723404,47
PFE,2014-02-28,0.06481481481481481,0.25,-0.18518518518518517,108
PFE,2015-02-27,0.06504065040650407,0.2032520325203252,-0.13821138211382114,123
PFE,2016-02-29,0.05555555555555555,0.3333333333333333,-0.2777777777777778,162
PFE,2017-02-23,0.09420289855072464,0.2463768115942029,-0.15217391304347827,138
PFE,2018-02-22,0.04487179487179487,0.16025641025641027,-0.11538461538461539,156
PFE,2019-02-28,0.06593406593406594,0.23076923076923078,-0.16483516483516483,182
PFE,2020-02-27,0.07446808510638298,0.2074468085106383,-0.13297872340425532,188
CAH,2015-08-13,0.0,0.0,0.0,1
CAH,2016-08-12,0.0,0.0,0.0,1
CAH,2017-08-10,0.0,0.0,0.0,1
CAH,2018-08-22,0.0,0.0,0.0,1
CAH,2019-08-20,0.0,0.0,0.0,1
CAH,2020-08-13,0.0,0.0,0.0,1
BK,2014-02-28,0.0,0.0,0.0,1
BK,2015-02-27,0.0,0.0,0.0,1
BK,2016-02-26,0.0,0.0,0.0,1
BK,2017-02-28,0.0,0.0,0.0,1
BK,2018-02-28,0.0,0.0,0.0,1
BK,2019-02-27,0.0,0.0,0.0,1
BK,2020-02-27,0.0,0.0,0.0,1
BSX,2018-02-20,0.08955223880597014,0.21641791044776118,-0.12686567164179105,134
BSX,2019-02-19,0.06766917293233082,0.23308270676691728,-0.16541353383458646,133
BSX,2020-02-25,0.07518796992481203,0.21052631578947367,-0.13533834586466165,133
APA,2015-02-27,0.0,0.425,-0.425,80
APA,2016-02-26,0.0,0.4,-0.4,85
APA,2017-02-24,0.022727272727272728,0.3977272727272727,-0.375,88
APA,2018-02-22,0.0,0.375,-0.375,88
APA,2019-02-28,0.0,0.3684210526315789,-0.3684210526315789,95
APA,2020-02-27,0.010101010101010102,0.36363636363636365,-0.35353535353535354,99
HPE,2015-12-17,0.01,0.465,-0.455,200
HPE,2017-12-15,0.010752688172043012,0.3978494623655914,-0.3870967741935484,186
HPE,2018-12-12,0.022598870056497175,0.4011299435028249,-0.3785310734463277,177
HPE,2019-12-12,0.036585365853658534,0.4573170731707317,-0.42073170731707316,164
HPE,2020-12-10,0.04081632653061224,0.5510204081632653,-0.5102040816326531,147
MU,2015-10-27,0.05813953488372093,0.3953488372093023,-0.3372093023255814,86
MU,2016-10-28,0.09523809523809523,0.3333333333333333,-0.23809523809523808,105
MU,2017-10-26,0.06481481481481481,0.3148148148148148,-0.25,108
MU,2018-10-15,0.05,0.3416666666666667,-0.2916666666666667,120
MU,2019-10-17,0.052980132450331126,0.3443708609271523,-0.2913907284768212,151
MU,2020-10-19,0.05844155844155844,0.5,-0.44155844155844154,154
KHC,2019-06-07,0.05333333333333334,0.44,-0.38666666666666666,150
KHC,2020-02-14,0.0410958904109589,0.4178082191780822,-0.3767123287671233,146
TMUS,2015-02-18,0.041237113402061855,0.29896907216494845,-0.25773195876288657,97
TMUS,2016-02-17,0.02040816326530612,0.2755102040816326,-0.25510204081632654,98
TMUS,2017-02-14,0.05714285714285714,0.2857142857142857,-0.22857142857142856,105
TMUS,2018-02-08,0.045871559633027525,0.3486238532110092,-0.30275229357798167,109
TMUS,2019-02-07,0.042682926829268296,0.31097560975609756,-0.2682926829268293,164
TMUS,2020-02-06,0.03867403314917127,0.32044198895027626,-0.281767955801105,181
MDLZ,2015-02-20,0.07792207792207792,0.37662337662337664,-0.2987012987012987,77
MDLZ,2016-02-19,0.06329113924050633,0.43037974683544306,-0.3670886075949367,79
MDLZ,2017-02-24,0.05952380952380952,0.42857142857142855,-0.36904761904761907,84
MDLZ,2018-02-09,0.06382978723404255,0.425531914893617,-0.3617021276595745,94
MDLZ,2019-02-08,0.09523809523809523,0.4666666666666667,-0.37142857142857144,105
MDLZ,2020-02-07,0.02586206896551724,0.47413793103448276,-0.4482758620689655,116
HBI,2018-02-08,0.037383177570093455,0.48598130841121495,-0.4485981308411215,107
HBI,2019-02-08,0.00909090909090909,0.4636363636363636,-0.45454545454545453,110
HBI,2020-02-10,0.008333333333333333,0.44166666666666665,-0.43333333333333335,120
UPS,2015-02-27,0.021739130434782608,0.41304347826086957,-0.391304347826087,46
UPS,2016-02-24,0.02040816326530612,0.3469387755102041,-0.32653061224489793,49
UPS,2017-02-21,0.038461538461538464,0.3076923076923077,-0.2692307692307692,52
UPS,2018-02-21,0.04225352112676056,0.2676056338028169,-0.22535211267605634,71
UPS,2019-02-21,0.0945945945945946,0.3108108108108108,-0.21621621621621623,74
UPS,2020-02-20,0.06153846153846154,0.2923076923076923,-0.23076923076923078,65
ADI,2015-11-24,0.011627906976744186,0.47674418604651164,-0.46511627906976744,86
ADI,2016-11-22,0.02702702702702703,0.4774774774774775,-0.45045045045045046,111
ADI,2017-11-22,0.019801980198019802,0.46534653465346537,-0.44554455445544555,101
ADI,2018-11-27,0.05660377358490566,0.4811320754716981,-0.42452830188679247,106
ADI,2019-11-26,0.02,0.45,-0.43,100
ADI,2020-11-24,0.007194244604316547,0.5035971223021583,-0.49640287769784175,139
IBM,2011-02-22,0.0,0.0,0.0,1
IBM,2012-02-28,0.0,0.0,0.0,1
IBM,2013-02-26,0.0,0.0,0.0,1
IBM,2014-02-25,0.0,0.0,0.0,1
IBM,2015-02-24,0.0,0.0,0.0,1
IBM,2016-02-23,0.0,0.0,0.0,1
IBM,2017-02-28,0.0,0.0,0.0,1
IBM,2018-02-27,0.0,0.0,0.0,1
IBM,2019-02-26,0.0,0.0,0.0,1
IBM,2020-02-25,0.03333333333333333,0.45,-0.4166666666666667,60
CSCO,2015-09-08,0.0,0.0,0.0,1
CSCO,2016-09-08,0.0,0.0,0.0,1
CSCO,2017-09-07,0.0,0.0,0.0,1
CSCO,2018-09-06,0.0,0.0,0.0,1
CSCO,2019-09-05,0.0,0.0,0.0,1
CSCO,2020-09-03,0.0,0.0,0.0,1
